,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
0,model-original,,,,,,,,,,,,0.9114999771118164,0.9117,,,,,,,,
1,model_1_0,conv2d_1/kernel,1.0,4.0,"(4, 3, 11, 47)",-0.5217837691307068,0.5217837691307068,0.2999950647354126,73.0,4.0,89.0,0.365659491753015,0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,-0.517067015171051,-0.714060366153717,-126.0,-174.0,0.19699335098266602,48.0
2,model_1_1,conv2d_1/kernel,1.0,4.0,"(1, 3, 29, 33)",-0.44516822695732117,0.44516822695732117,0.010611247271299362,3.0,6.0,67.0,0.2348525291822088,0.911300003528595,0.9115,-0.00019997358322143555,-0.00019999999999997797,0.03130459040403366,-0.865660548210144,9.0,-247.0,0.8969651460647583,256.0
3,model_1_2,conv2d_1/kernel,1.0,4.0,"(2, 3, 1, 54)",-0.5581862330436707,0.5581862330436707,0.04511292651295662,10.0,7.0,-118.0,-0.5186297283397885,0.9114999771118164,0.9121,0.0,0.00040000000000006697,-0.13329188525676727,2.1216788291931152,-30.0,482.0,2.2549707889556885,512.0
4,model_1_3,conv2d_1/kernel,1.0,4.0,"(2, 1, 24, 54)",-0.5581862330436707,0.5581862330436707,0.032866235822439194,7.0,6.0,71.0,0.31205687044173713,0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,-0.33713284134864807,-1.4538953304290771,-75.0,-331.0,1.1167625188827515,256.0
5,model_1_4,conv2d_1/kernel,1.0,4.0,"(0, 2, 9, 61)",-0.43715986609458923,0.43715986609458923,-0.022371597588062286,-6.0,7.0,122.0,0.41994884774440855,0.9117000102996826,0.912,0.00020003318786621094,0.000300000000000078,-0.05171233415603638,-1.378673791885376,-17.0,-401.0,1.3269615173339844,384.0
6,model_1_5,conv2d_1/kernel,1.0,4.0,"(2, 2, 14, 35)",-0.4116211235523224,0.4116211235523224,-0.2477281093597412,-76.0,6.0,-12.0,-0.038893334508880856,0.9114999771118164,0.9116,0.0,-9.999999999998899e-05,0.7762167453765869,-0.05912236124277115,238.0,-18.0,0.8353391289710999,256.0
7,model_1_6,conv2d_1/kernel,1.0,4.0,"(2, 4, 14, 59)",-0.521411657333374,0.521411657333374,0.09269492328166962,23.0,3.0,31.0,0.12727371163255585,0.9115999937057495,0.9119,0.00010001659393310547,0.000200000000000089,0.2200191468000412,0.11628279089927673,52.0,28.0,0.10373635590076447,24.0
8,model_1_7,conv2d_1/kernel,1.0,4.0,"(0, 1, 10, 28)",-0.5583134889602661,0.5583134889602661,0.11133307963609695,25.0,5.0,57.0,0.25058164465145805,0.9114000201225281,0.9116,-9.995698928833008e-05,-9.999999999998899e-05,-0.2204602062702179,-0.638205885887146,-50.0,-146.0,0.4177456796169281,96.0
9,model_1_8,conv2d_1/kernel,1.0,4.0,"(0, 1, 6, 2)",-0.55156010389328,0.55156010389328,-0.07487785816192627,-17.0,3.0,-25.0,-0.10857482360103937,0.9114999771118164,0.9117,0.0,0.0,-0.3070504367351532,-0.20595954358577728,-71.0,-47.0,0.10109089314937592,24.0
10,model_1_9,conv2d_1/kernel,1.0,4.0,"(0, 3, 17, 18)",-0.6103699803352356,0.6103699803352356,0.023572750389575958,5.0,4.0,21.0,0.10092731958299171,0.9117000102996826,0.9116,0.00020003318786621094,-9.999999999998899e-05,-0.21533356606960297,-0.44739729166030884,-45.0,-93.0,0.23206372559070587,48.0
11,model_1_10,conv2d_1/kernel,1.0,4.0,"(4, 2, 5, 21)",-0.562262773513794,0.562262773513794,0.060872990638017654,14.0,7.0,-114.0,-0.5047083163824607,0.9115999937057495,0.9117,0.00010001659393310547,0.0,0.01894279569387436,1.715686559677124,3.0,387.0,1.6967437267303467,384.0
12,model_1_11,conv2d_1/kernel,1.0,4.0,"(2, 3, 14, 24)",-0.7118183970451355,0.7118183970451355,0.10572045296430588,19.0,2.0,23.0,0.12891199316565446,0.9114999771118164,0.9118,0.0,0.00010000000000010001,-0.46964913606643677,-0.5624152421951294,-85.0,-101.0,0.09276610612869263,16.0
13,model_1_12,conv2d_1/kernel,1.0,4.0,"(4, 0, 5, 20)",-0.4547130763530731,0.4547130763530731,-0.27535778284072876,-77.0,6.0,-13.0,-0.046545433012519295,0.9117000102996826,0.9118,0.00020003318786621094,0.00010000000000010001,0.363925039768219,-0.09369964897632599,102.0,-26.0,0.4576246738433838,128.0
14,model_1_13,conv2d_1/kernel,1.0,4.0,"(4, 3, 21, 5)",-0.5425477027893066,0.5425477027893066,-0.14680276811122894,-34.0,3.0,-42.0,-0.1794252245444951,0.9114000201225281,0.9115,-9.995698928833008e-05,-0.00019999999999997797,0.18953384459018707,0.2874011993408203,44.0,68.0,0.09786735475063324,24.0
