,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,q_aware_loss,tflite_loss,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
0,model-original,,,,,,,,,,,,0.911499977,0.9117,,,0.28909108,0.3396423,,,,,,
1,model_0_0,conv2d/kernel,0,2,"(4, 0, 0, 28)",-0.337554872,0.337554872,0.032380916,12,1,14,0.037210773,0.911199987,0.9115,-0.00029999,-0.0002,0.289421886,0.34078217,0.128726974,0.119067252,49,45,0.009659722,4
2,model_0_1,conv2d/kernel,0,2,"(1, 1, 0, 4)",-0.27436161,0.27436161,0.049955413,23,0,22,0.047527208,0.911599994,0.9116,0.000100017,-1.00E-04,0.288847536,0.33948663,-0.475414038,-0.465701222,-220,-216,0.009712815,4
3,model_0_2,conv2d/kernel,0,2,"(0, 0, 0, 0)",-0.418046981,0.418046981,-0.111900583,-34,5,-2,-0.006583417,0.912599981,0.9121,0.001100004,0.0004,0.290246665,0.34019157,0.022316739,-0.188317597,7,-57,0.210634336,64
4,model_0_3,conv2d/kernel,0,2,"(2, 4, 0, 17)",-0.354993403,0.354993403,-0.153297976,-55,7,73,0.204051326,0.910700023,0.911,-0.000799954,-0.0007,0.293111593,0.341998,0.285490543,-0.786557376,103,-281,1.072047949,384
5,model_0_4,conv2d/kernel,0,2,"(2, 3, 0, 27)",-0.258021235,0.258021235,-0.061502602,-30,1,-32,-0.065013225,0.912100017,0.9124,0.00060004,0.0007,0.289248824,0.33968398,0.503466368,0.517508864,247,255,0.014042497,8
6,model_0_5,conv2d/kernel,0,2,"(4, 0, 0, 9)",-0.290123671,0.290123671,-0.290339261,-127,2,-123,-0.280985918,0.91170001,0.9117,0.000200033,0,0.288714528,0.34016645,0.569507241,0.550800681,250,242,0.01870656,8
7,model_0_6,conv2d/kernel,0,2,"(0, 0, 0, 5)",-0.220885202,0.220885202,-0.079182148,-46,6,-110,-0.191317892,0.91140002,0.911,-1.00E-04,-0.0007,0.289406359,0.340432,0.147370666,0.371642143,85,213,0.224271476,128
8,model_0_7,conv2d/kernel,0,2,"(1, 0, 0, 2)",-0.196166009,0.196166009,0.079388753,51,0,50,0.077230712,0.91170001,0.9119,0.000200033,0.0002,0.289242297,0.34311283,-0.132314414,-0.125840276,-85,-82,0.006474137,3
9,model_0_8,conv2d/kernel,0,2,"(2, 2, 0, 16)",-0.330264807,0.330264807,0.173886642,67,7,-61,-0.158631128,0.912800014,0.9129,0.001300037,0.0012,0.280567199,0.32700846,-0.62456882,0.705502272,-241,271,1.330071092,512
10,model_0_9,conv2d/kernel,0,2,"(0, 2, 0, 2)",-0.196166009,0.196166009,-0.025397485,-16,3,-8,-0.012356914,0.912,0.9121,0.000500023,0.0004,0.289084911,0.34151688,0.229043514,0.189921796,147,123,0.039121717,24
11,model_0_10,conv2d/kernel,0,2,"(1, 2, 0, 21)",-0.256146193,0.256146193,-0.081208162,-40,2,-36,-0.07260837,0.912100017,0.9121,0.00060004,0.0004,0.289057076,0.3404979,0.249391153,0.214991972,121,105,0.034399182,16
12,model_0_11,conv2d/kernel,0,2,"(4, 0, 0, 31)",-0.314860284,0.314860284,0.100442432,41,4,57,0.141315246,0.912800014,0.9125,0.001300037,0.0008,0.290060192,0.3439329,-0.129345626,-0.21109125,-53,-85,0.081745625,32
13,model_0_12,conv2d/kernel,0,2,"(2, 3, 0, 13)",-0.302569419,0.302569419,-0.1256174,-53,5,-21,-0.050031164,0.911300004,0.9117,-0.000199974,0,0.28961134,0.34596714,0.902887464,0.600542486,379,251,0.302344978,128
14,model_0_13,conv2d/kernel,0,2,"(3, 2, 0, 15)",-0.315448165,0.315448165,-0.011270576,-5,5,-37,-0.091902221,0.911300004,0.9113,-0.000199974,-0.0004,0.289602697,0.3420853,0.115702257,0.438228846,48,176,0.322526574,128
15,model_0_14,conv2d/kernel,0,2,"(3, 4, 0, 17)",-0.354993403,0.354993403,0.047409873,17,5,49,0.136965959,0.91140002,0.911,-1.00E-04,-0.0007,0.28896606,0.3371458,-0.321699083,-0.590367317,-115,-211,0.268668234,96
16,model_0_15,conv2d/kernel,0,2,"(1, 4, 0, 9)",-0.290123671,0.290123671,-0.105899207,-46,7,82,0.187323945,0.908399999,0.9088,-0.003099978,-0.0029,0.298714012,0.34891748,0.314054221,-0.565615177,136,-248,0.879669428,384
17,model_0_16,conv2d/kernel,0,2,"(1, 0, 0, 0)",-0.418046981,0.418046981,-0.231173754,-70,2,-66,-0.217252762,0.912199974,0.9119,0.000699997,0.0002,0.289495736,0.33994517,0.621990383,0.580227375,189,177,0.041763008,12
