,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9114999771118164,,0.2890910804271698
0,2023/09/04 22:55:25,quant_conv2d,2,1,3,0.9114000201225281,-9.995698928833008e-05,0.2893129289150238
1,2023/09/04 22:55:27,quant_conv2d,2,2,2 7,0.9106000065803528,-0.000899970531463623,0.28959283232688904
2,2023/09/04 22:55:29,quant_conv2d,2,3,2 3 3,0.9114000201225281,-9.995698928833008e-05,0.29010576009750366
3,2023/09/04 22:55:31,quant_conv2d,2,4,2 5 0 5,0.9114999771118164,0.0,0.2897735834121704
4,2023/09/04 22:55:33,quant_conv2d_1,4,1,1,0.9114999771118164,0.0,0.28910210728645325
5,2023/09/04 22:55:35,quant_conv2d_1,4,2,6 0,0.9115999937057495,0.00010001659393310547,0.28905531764030457
6,2023/09/04 22:55:37,quant_conv2d_1,4,3,5 4 7,0.9114999771118164,0.0,0.2908986806869507
7,2023/09/04 22:55:39,quant_conv2d_1,4,4,0 3 7 3,0.9121999740600586,0.0006999969482421875,0.28912854194641113
8,2023/09/04 22:55:41,quant_conv2d_2,6,1,6,0.9115999937057495,0.00010001659393310547,0.28901663422584534
9,2023/09/04 22:55:43,quant_conv2d_2,6,2,2 2,0.9114999771118164,0.0,0.28910738229751587
10,2023/09/04 22:55:45,quant_conv2d_2,6,3,2 2 1,0.9115999937057495,0.00010001659393310547,0.28908127546310425
11,2023/09/04 22:55:47,quant_conv2d_2,6,4,7 6 5 2,0.9115999937057495,0.00010001659393310547,0.2891201376914978
12,2023/09/04 22:55:49,quant_dense_last,9,1,0,0.9114999771118164,0.0,0.28901705145835876
13,2023/09/04 22:55:52,quant_dense_last,9,2,7 7,0.883899986743927,-0.027599990367889404,0.4372294545173645
14,2023/09/04 22:55:54,quant_dense_last,9,3,4 1 5,0.9120000004768372,0.000500023365020752,0.2879319190979004
15,2023/09/04 22:55:56,quant_dense_last,9,4,1 1 3 3,0.911300003528595,-0.00019997358322143555,0.2888408899307251
16,2023/09/04 22:55:58,quant_conv2d,2,1,7,0.9106000065803528,-0.000899970531463623,0.2952856123447418
17,2023/09/04 22:56:00,quant_conv2d,2,2,1 1,0.9114999771118164,0.0,0.28908440470695496
18,2023/09/04 22:56:02,quant_conv2d,2,3,3 7 5,0.8981999754905701,-0.013300001621246338,0.36842527985572815
19,2023/09/04 22:56:05,quant_conv2d,2,4,0 3 5 7,0.9107999801635742,-0.0006999969482421875,0.29190000891685486
20,2023/09/04 22:56:06,quant_conv2d_1,4,1,2,0.9115999937057495,0.00010001659393310547,0.2891012728214264
21,2023/09/04 22:56:09,quant_conv2d_1,4,2,7 6,0.9115999937057495,0.00010001659393310547,0.28905993700027466
22,2023/09/04 22:56:11,quant_conv2d_1,4,3,1 0 1,0.9114000201225281,-9.995698928833008e-05,0.2891741693019867
23,2023/09/04 22:56:13,quant_conv2d_1,4,4,5 5 5 4,0.9124000072479248,0.0009000301361083984,0.2888685166835785
24,2023/09/04 22:56:16,quant_conv2d_2,6,1,5,0.9114999771118164,0.0,0.28917279839515686
25,2023/09/04 22:56:18,quant_conv2d_2,6,2,4 7,0.9114999771118164,0.0,0.28920313715934753
26,2023/09/04 22:56:20,quant_conv2d_2,6,3,1 5 4,0.9114000201225281,-9.995698928833008e-05,0.28911009430885315
