,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9114999771118164,,0.2890910804271698
0,2023/09/04 23:24:48,quant_conv2d,2,1,0,0.9117000102996826,0.00020003318786621094,0.28925570845603943
1,2023/09/04 23:24:49,quant_conv2d,2,2,0,0.9115999937057495,0.00010001659393310547,0.2892400622367859
2,2023/09/04 23:24:51,quant_conv2d,2,3,0,0.911899983882904,0.0004000067710876465,0.2896105945110321
3,2023/09/04 23:24:53,quant_conv2d,2,4,0,0.911300003528595,-0.00019997358322143555,0.2894968092441559
4,2023/09/04 23:24:55,quant_conv2d,2,1,1,0.911300003528595,-0.00019997358322143555,0.2893366813659668
5,2023/09/04 23:24:57,quant_conv2d,2,2,1,0.9114999771118164,0.0,0.2895735204219818
6,2023/09/04 23:24:59,quant_conv2d,2,3,1,0.9114999771118164,0.0,0.2890155017375946
7,2023/09/04 23:25:01,quant_conv2d,2,4,1,0.9124000072479248,0.0009000301361083984,0.2894214689731598
8,2023/09/04 23:25:03,quant_conv2d,2,1,2,0.9125000238418579,0.001000046730041504,0.2890753149986267
9,2023/09/04 23:25:05,quant_conv2d,2,2,2,0.9121999740600586,0.0006999969482421875,0.2891363203525543
10,2023/09/04 23:25:07,quant_conv2d,2,3,2,0.911899983882904,0.0004000067710876465,0.2891448736190796
11,2023/09/04 23:25:09,quant_conv2d,2,4,2,0.9121000170707703,0.0006000399589538574,0.28940191864967346
12,2023/09/04 23:25:11,quant_conv2d,2,1,3,0.9120000004768372,0.000500023365020752,0.2892625033855438
13,2023/09/04 23:25:13,quant_conv2d,2,2,3,0.9124000072479248,0.0009000301361083984,0.289235383272171
14,2023/09/04 23:25:15,quant_conv2d,2,3,3,0.9128999710083008,0.001399993896484375,0.28871670365333557
15,2023/09/04 23:25:17,quant_conv2d,2,4,3,0.9126999974250793,0.0012000203132629395,0.28847503662109375
16,2023/09/04 23:25:19,quant_conv2d,2,1,4,0.9114999771118164,0.0,0.2886117696762085
17,2023/09/04 23:25:22,quant_conv2d,2,2,4,0.911300003528595,-0.00019997358322143555,0.288559228181839
18,2023/09/04 23:25:24,quant_conv2d,2,3,4,0.911899983882904,0.0004000067710876465,0.28921663761138916
19,2023/09/04 23:25:26,quant_conv2d,2,4,4,0.9122999906539917,0.000800013542175293,0.28815844655036926
20,2023/09/04 23:25:29,quant_conv2d,2,1,5,0.9114000201225281,-9.995698928833008e-05,0.2889884114265442
21,2023/09/04 23:25:31,quant_conv2d,2,2,5,0.9118000268936157,0.0003000497817993164,0.28924107551574707
22,2023/09/04 23:25:33,quant_conv2d,2,3,5,0.9110999703407288,-0.0004000067710876465,0.29310184717178345
23,2023/09/04 23:25:36,quant_conv2d,2,4,5,0.911899983882904,0.0004000067710876465,0.29407334327697754
24,2023/09/04 23:25:39,quant_conv2d,2,1,6,0.9110000133514404,-0.0004999637603759766,0.29498839378356934
25,2023/09/04 23:25:41,quant_conv2d,2,2,6,0.911300003528595,-0.00019997358322143555,0.29370418190956116
26,2023/09/04 23:25:44,quant_conv2d,2,3,6,0.9089000225067139,-0.002599954605102539,0.3082965910434723
27,2023/09/04 23:25:47,quant_conv2d,2,4,6,0.9114000201225281,-9.995698928833008e-05,0.29017502069473267
28,2023/09/04 23:25:49,quant_conv2d,2,1,7,0.9078999757766724,-0.003600001335144043,0.297762930393219
29,2023/09/04 23:25:52,quant_conv2d,2,2,7,0.911899983882904,0.0004000067710876465,0.2920146584510803
30,2023/09/04 23:25:55,quant_conv2d,2,3,7,0.8226000070571899,-0.08889997005462646,0.8080186247825623
31,2023/09/04 23:25:58,quant_conv2d,2,4,7,0.9101999998092651,-0.0012999773025512695,0.2926604449748993
32,2023/09/04 23:26:01,quant_conv2d_1,4,1,0,0.9115999937057495,0.00010001659393310547,0.2891550362110138
33,2023/09/04 23:26:04,quant_conv2d_1,4,2,0,0.911300003528595,-0.00019997358322143555,0.289081871509552
34,2023/09/04 23:26:07,quant_conv2d_1,4,3,0,0.9114999771118164,0.0,0.28908154368400574
35,2023/09/04 23:26:10,quant_conv2d_1,4,4,0,0.9120000004768372,0.000500023365020752,0.28906598687171936
36,2023/09/04 23:26:13,quant_conv2d_1,4,1,1,0.9114999771118164,0.0,0.28910353779792786
37,2023/09/04 23:26:16,quant_conv2d_1,4,2,1,0.9115999937057495,0.00010001659393310547,0.28905558586120605
38,2023/09/04 23:26:19,quant_conv2d_1,4,3,1,0.9118000268936157,0.0003000497817993164,0.2891000509262085
39,2023/09/04 23:26:22,quant_conv2d_1,4,4,1,0.9118000268936157,0.0003000497817993164,0.2891806960105896
40,2023/09/04 23:26:25,quant_conv2d_1,4,1,2,0.9114999771118164,0.0,0.28910061717033386
41,2023/09/04 23:26:27,quant_conv2d_1,4,2,2,0.9114999771118164,0.0,0.2892460227012634
42,2023/09/04 23:26:29,quant_conv2d_1,4,3,2,0.9114000201225281,-9.995698928833008e-05,0.28923770785331726
43,2023/09/04 23:26:32,quant_conv2d_1,4,4,2,0.9114999771118164,0.0,0.28908678889274597
44,2023/09/04 23:26:35,quant_conv2d_1,4,1,3,0.9115999937057495,0.00010001659393310547,0.2891084849834442
45,2023/09/04 23:26:37,quant_conv2d_1,4,2,3,0.9118000268936157,0.0003000497817993164,0.2890636920928955
46,2023/09/04 23:26:40,quant_conv2d_1,4,3,3,0.9115999937057495,0.00010001659393310547,0.2890797555446625
47,2023/09/04 23:26:42,quant_conv2d_1,4,4,3,0.9118000268936157,0.0003000497817993164,0.2890908718109131
48,2023/09/04 23:26:45,quant_conv2d_1,4,1,4,0.9115999937057495,0.00010001659393310547,0.2892463505268097
49,2023/09/04 23:26:48,quant_conv2d_1,4,2,4,0.9120000004768372,0.000500023365020752,0.289088636636734
50,2023/09/04 23:26:50,quant_conv2d_1,4,3,4,0.911899983882904,0.0004000067710876465,0.2891993522644043
51,2023/09/04 23:26:52,quant_conv2d_1,4,4,4,0.9117000102996826,0.00020003318786621094,0.2890748679637909
52,2023/09/04 23:26:55,quant_conv2d_1,4,1,5,0.9121000170707703,0.0006000399589538574,0.28916412591934204
53,2023/09/04 23:26:58,quant_conv2d_1,4,2,5,0.9121999740600586,0.0006999969482421875,0.2893134653568268
54,2023/09/04 23:27:01,quant_conv2d_1,4,3,5,0.9122999906539917,0.000800013542175293,0.289523720741272
55,2023/09/04 23:27:03,quant_conv2d_1,4,4,5,0.9114999771118164,0.0,0.2891627550125122
56,2023/09/04 23:27:06,quant_conv2d_1,4,1,6,0.911300003528595,-0.00019997358322143555,0.28933507204055786
57,2023/09/04 23:27:08,quant_conv2d_1,4,2,6,0.9120000004768372,0.000500023365020752,0.2896139621734619
58,2023/09/04 23:27:11,quant_conv2d_1,4,3,6,0.9118000268936157,0.0003000497817993164,0.2895106077194214
59,2023/09/04 23:27:14,quant_conv2d_1,4,4,6,0.9115999937057495,0.00010001659393310547,0.28982529044151306
60,2023/09/04 23:27:17,quant_conv2d_1,4,1,7,0.9114999771118164,0.0,0.28943076729774475
61,2023/09/04 23:27:20,quant_conv2d_1,4,2,7,0.9120000004768372,0.000500023365020752,0.2890242040157318
62,2023/09/04 23:27:22,quant_conv2d_1,4,3,7,0.911300003528595,-0.00019997358322143555,0.28912949562072754
63,2023/09/04 23:27:25,quant_conv2d_1,4,4,7,0.9110999703407288,-0.0004000067710876465,0.28972989320755005
64,2023/09/04 23:27:27,quant_conv2d_2,6,1,0,0.9114999771118164,0.0,0.289105623960495
65,2023/09/04 23:27:31,quant_conv2d_2,6,2,0,0.9115999937057495,0.00010001659393310547,0.28908422589302063
66,2023/09/04 23:27:34,quant_conv2d_2,6,3,0,0.9114999771118164,0.0,0.2890460789203644
67,2023/09/04 23:27:36,quant_conv2d_2,6,4,0,0.9114999771118164,0.0,0.2891097962856293
68,2023/09/04 23:27:38,quant_conv2d_2,6,1,1,0.9114999771118164,0.0,0.2890845537185669
69,2023/09/04 23:27:40,quant_conv2d_2,6,2,1,0.9114999771118164,0.0,0.2890532612800598
70,2023/09/04 23:27:42,quant_conv2d_2,6,3,1,0.9114999771118164,0.0,0.28909456729888916
71,2023/09/04 23:27:45,quant_conv2d_2,6,4,1,0.9114999771118164,0.0,0.28907760977745056
72,2023/09/04 23:27:47,quant_conv2d_2,6,1,2,0.9114999771118164,0.0,0.28907957673072815
73,2023/09/04 23:27:49,quant_conv2d_2,6,2,2,0.9114999771118164,0.0,0.2889896631240845
74,2023/09/04 23:27:51,quant_conv2d_2,6,3,2,0.9114999771118164,0.0,0.28898465633392334
75,2023/09/04 23:27:53,quant_conv2d_2,6,4,2,0.9114000201225281,-9.995698928833008e-05,0.2890394330024719
76,2023/09/04 23:27:55,quant_conv2d_2,6,1,3,0.9117000102996826,0.00020003318786621094,0.2890295684337616
77,2023/09/04 23:27:57,quant_conv2d_2,6,2,3,0.9114999771118164,0.0,0.2890910804271698
78,2023/09/04 23:27:59,quant_conv2d_2,6,3,3,0.9115999937057495,0.00010001659393310547,0.2890901565551758
79,2023/09/04 23:28:02,quant_conv2d_2,6,4,3,0.9115999937057495,0.00010001659393310547,0.28905636072158813
80,2023/09/04 23:28:04,quant_conv2d_2,6,1,4,0.9114999771118164,0.0,0.2890581786632538
81,2023/09/04 23:28:05,quant_conv2d_2,6,2,4,0.9114999771118164,0.0,0.2890910804271698
82,2023/09/04 23:28:08,quant_conv2d_2,6,3,4,0.9117000102996826,0.00020003318786621094,0.28900840878486633
