,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9143000245094299,,0.30976006388664246
,new reference,,,,,0.9140999913215637,,0.3098208010196686
0,2023/07/12 14:28:52,quant_conv2d,1,1,0,0.9140999913215637,0.0,0.3098208010196686
1,2023/07/12 14:28:58,quant_conv2d,1,2,0,0.9140999913215637,0.0,0.3098208010196686
2,2023/07/12 14:29:06,quant_conv2d,1,3,0,0.9140999913215637,0.0,0.3098208010196686
3,2023/07/12 14:29:13,quant_conv2d,1,4,0,0.9140999913215637,0.0,0.3098208010196686
4,2023/07/12 14:29:19,quant_conv2d,1,1,1,0.9140999913215637,0.0,0.3098208010196686
5,2023/07/12 14:29:24,quant_conv2d,1,2,1,0.9140999913215637,0.0,0.3098208010196686
6,2023/07/12 14:29:29,quant_conv2d,1,3,1,0.9140999913215637,0.0,0.3098208010196686
7,2023/07/12 14:29:35,quant_conv2d,1,4,1,0.9140999913215637,0.0,0.3098208010196686
8,2023/07/12 14:29:40,quant_conv2d,1,1,2,0.9140999913215637,0.0,0.3098208010196686
9,2023/07/12 14:29:45,quant_conv2d,1,2,2,0.9140999913215637,0.0,0.3098208010196686
10,2023/07/12 14:29:51,quant_conv2d,1,3,2,0.9140999913215637,0.0,0.30982086062431335
11,2023/07/12 14:29:57,quant_conv2d,1,4,2,0.9140999913215637,0.0,0.3098192811012268
12,2023/07/12 14:30:03,quant_conv2d,1,1,3,0.9140999913215637,0.0,0.3098207712173462
13,2023/07/12 14:30:08,quant_conv2d,1,2,3,0.9140999913215637,0.0,0.30982062220573425
14,2023/07/12 14:30:14,quant_conv2d,1,3,3,0.9140999913215637,0.0,0.30982062220573425
15,2023/07/12 14:30:20,quant_conv2d,1,4,3,0.9140999913215637,0.0,0.3098208010196686
16,2023/07/12 14:30:26,quant_conv2d,1,1,4,0.9140999913215637,0.0,0.3098203241825104
17,2023/07/12 14:30:31,quant_conv2d,1,2,4,0.9140999913215637,0.0,0.3097963333129883
18,2023/07/12 14:30:37,quant_conv2d,1,3,4,0.9140999913215637,0.0,0.30981990694999695
19,2023/07/12 14:30:42,quant_conv2d,1,4,4,0.9140999913215637,0.0,0.30977535247802734
20,2023/07/12 14:30:47,quant_conv2d,1,1,5,0.9140999913215637,0.0,0.3098146319389343
21,2023/07/12 14:30:52,quant_conv2d,1,2,5,0.9140999913215637,0.0,0.30983301997184753
22,2023/07/12 14:30:58,quant_conv2d,1,3,5,0.9140999913215637,0.0,0.3098386824131012
23,2023/07/12 14:31:03,quant_conv2d,1,4,5,0.9140999913215637,0.0,0.3098387122154236
24,2023/07/12 14:31:08,quant_conv2d,1,1,6,0.9140999913215637,0.0,0.30983901023864746
25,2023/07/12 14:31:14,quant_conv2d,1,2,6,0.9140999913215637,0.0,0.3097895383834839
26,2023/07/12 14:31:19,quant_conv2d,1,3,6,0.9140999913215637,0.0,0.30984243750572205
27,2023/07/12 14:31:24,quant_conv2d,1,4,6,0.9140999913215637,0.0,0.3098112940788269
28,2023/07/12 14:31:30,quant_conv2d,1,1,7,0.9140999913215637,0.0,0.3098185658454895
29,2023/07/12 14:31:35,quant_conv2d,1,2,7,0.9140999913215637,0.0,0.3098275065422058
30,2023/07/12 14:31:40,quant_conv2d,1,3,7,0.9140999913215637,0.0,0.30979421734809875
31,2023/07/12 14:31:46,quant_conv2d,1,4,7,0.9140999913215637,0.0,0.30986618995666504
32,2023/07/12 14:31:51,quant_conv2d,1,1,8,0.9140999913215637,0.0,0.30986055731773376
33,2023/07/12 14:31:56,quant_conv2d,1,2,8,0.9140999913215637,0.0,0.3098357319831848
34,2023/07/12 14:32:01,quant_conv2d,1,3,8,0.9142000079154968,0.00010001659393310547,0.3099096119403839
35,2023/07/12 14:32:07,quant_conv2d,1,4,8,0.9142000079154968,0.00010001659393310547,0.3098222315311432
36,2023/07/12 14:32:12,quant_conv2d,1,1,9,0.9140999913215637,0.0,0.3097771108150482
37,2023/07/12 14:32:18,quant_conv2d,1,2,9,0.9139999747276306,-0.00010001659393310547,0.30971163511276245
38,2023/07/12 14:32:23,quant_conv2d,1,3,9,0.9139999747276306,-0.00010001659393310547,0.3100009858608246
39,2023/07/12 14:32:29,quant_conv2d,1,4,9,0.9140999913215637,0.0,0.3098340928554535
40,2023/07/12 14:32:34,quant_conv2d,1,1,10,0.9142000079154968,0.00010001659393310547,0.3098987936973572
41,2023/07/12 14:32:39,quant_conv2d,1,2,10,0.9142000079154968,0.00010001659393310547,0.30981025099754333
42,2023/07/12 14:32:44,quant_conv2d,1,3,10,0.9139000177383423,-0.00019997358322143555,0.3099678158760071
43,2023/07/12 14:32:50,quant_conv2d,1,4,10,0.9139000177383423,-0.00019997358322143555,0.30978822708129883
44,2023/07/12 14:32:55,quant_conv2d,1,1,11,0.9139999747276306,-0.00010001659393310547,0.30988365411758423
45,2023/07/12 14:33:01,quant_conv2d,1,2,11,0.9142000079154968,0.00010001659393310547,0.3096129298210144
46,2023/07/12 14:33:06,quant_conv2d,1,3,11,0.9139000177383423,-0.00019997358322143555,0.31004294753074646
47,2023/07/12 14:33:12,quant_conv2d,1,4,11,0.9142000079154968,0.00010001659393310547,0.3095219135284424
48,2023/07/12 14:33:17,quant_conv2d,1,1,12,0.9143000245094299,0.00020003318786621094,0.3097178637981415
49,2023/07/12 14:33:22,quant_conv2d,1,2,12,0.9142000079154968,0.00010001659393310547,0.3098084330558777
50,2023/07/12 14:33:28,quant_conv2d,1,3,12,0.9143000245094299,0.00020003318786621094,0.3098508417606354
51,2023/07/12 14:33:33,quant_conv2d,1,4,12,0.9143000245094299,0.00020003318786621094,0.30989980697631836
52,2023/07/12 14:33:39,quant_conv2d,1,1,13,0.9143999814987183,0.000299990177154541,0.30982136726379395
53,2023/07/12 14:33:44,quant_conv2d,1,2,13,0.9138000011444092,-0.000299990177154541,0.30998295545578003
54,2023/07/12 14:33:49,quant_conv2d,1,3,13,0.9143000245094299,0.00020003318786621094,0.31011962890625
55,2023/07/12 14:33:55,quant_conv2d,1,4,13,0.9143000245094299,0.00020003318786621094,0.3099237382411957
56,2023/07/12 14:34:00,quant_conv2d,1,1,14,0.9138000011444092,-0.000299990177154541,0.3099927604198456
57,2023/07/12 14:34:05,quant_conv2d,1,2,14,0.9136000275611877,-0.0004999637603759766,0.31041622161865234
58,2023/07/12 14:34:11,quant_conv2d,1,3,14,0.9139999747276306,-0.00010001659393310547,0.3108796775341034
59,2023/07/12 14:34:16,quant_conv2d,1,4,14,0.9143999814987183,0.000299990177154541,0.3099224865436554
60,2023/07/12 14:34:22,quant_conv2d,1,1,15,0.9139999747276306,-0.00010001659393310547,0.3106490969657898
61,2023/07/12 14:34:27,quant_conv2d,1,2,15,0.9136999845504761,-0.0004000067710876465,0.3099594712257385
62,2023/07/12 14:34:32,quant_conv2d,1,3,15,0.9136999845504761,-0.0004000067710876465,0.3105029761791229
63,2023/07/12 14:34:38,quant_conv2d,1,4,15,0.9133999943733215,-0.0006999969482421875,0.31036847829818726
64,2023/07/12 14:34:43,quant_conv2d,1,1,16,0.9132999777793884,-0.000800013542175293,0.3098854422569275
