,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9143000245094299,,0.30976006388664246
,new reference,,,,,0.914,,0.38959068
0,2023/07/22 12:58:39,quant_conv2d,1,1,0,0.914,0.0,0.38959068
1,2023/07/22 12:58:44,quant_conv2d,1,2,0,0.914,0.0,0.38959068
2,2023/07/22 12:58:48,quant_conv2d,1,3,0,0.914,0.0,0.3895803
3,2023/07/22 12:58:52,quant_conv2d,1,4,0,0.914,0.0,0.38959068
4,2023/07/22 12:58:56,quant_conv2d,1,1,1,0.914,0.0,0.38959068
5,2023/07/22 12:59:00,quant_conv2d,1,2,1,0.914,0.0,0.38959068
6,2023/07/22 12:59:04,quant_conv2d,1,3,1,0.914,0.0,0.38959008
7,2023/07/22 12:59:08,quant_conv2d,1,4,1,0.914,0.0,0.3896118
8,2023/07/22 12:59:13,quant_conv2d,1,1,2,0.914,0.0,0.38959068
9,2023/07/22 12:59:16,quant_conv2d,1,2,2,0.914,0.0,0.38959068
10,2023/07/22 12:59:20,quant_conv2d,1,3,2,0.914,0.0,0.3895911
11,2023/07/22 12:59:25,quant_conv2d,1,4,2,0.914,0.0,0.38959068
12,2023/07/22 12:59:29,quant_conv2d,1,1,3,0.914,0.0,0.38959068
13,2023/07/22 12:59:33,quant_conv2d,1,2,3,0.914,0.0,0.38960034
14,2023/07/22 12:59:37,quant_conv2d,1,3,3,0.914,0.0,0.3895699
15,2023/07/22 12:59:41,quant_conv2d,1,4,3,0.914,0.0,0.38959068
16,2023/07/22 12:59:46,quant_conv2d,1,1,4,0.914,0.0,0.38959068
17,2023/07/22 12:59:51,quant_conv2d,1,2,4,0.914,0.0,0.3895498
18,2023/07/22 12:59:55,quant_conv2d,1,3,4,0.9139,-9.999999999998899e-05,0.38960192
19,2023/07/22 13:00:00,quant_conv2d,1,4,4,0.914,0.0,0.3895417
20,2023/07/22 13:00:04,quant_conv2d,1,1,5,0.914,0.0,0.38959068
21,2023/07/22 13:00:08,quant_conv2d,1,2,5,0.914,0.0,0.38955414
22,2023/07/22 13:00:13,quant_conv2d,1,3,5,0.914,0.0,0.3895054
23,2023/07/22 13:00:17,quant_conv2d,1,4,5,0.9141,9.999999999998899e-05,0.3895272
24,2023/07/22 13:00:21,quant_conv2d,1,1,6,0.914,0.0,0.38959107
25,2023/07/22 13:00:26,quant_conv2d,1,2,6,0.914,0.0,0.38955298
26,2023/07/22 13:00:30,quant_conv2d,1,3,6,0.914,0.0,0.38969117
27,2023/07/22 13:00:35,quant_conv2d,1,4,6,0.914,0.0,0.3896061
28,2023/07/22 13:00:39,quant_conv2d,1,1,7,0.914,0.0,0.3895806
29,2023/07/22 13:00:43,quant_conv2d,1,2,7,0.914,0.0,0.38959876
30,2023/07/22 13:00:48,quant_conv2d,1,3,7,0.9143,0.00029999999999996696,0.3895517
31,2023/07/22 13:00:52,quant_conv2d,1,4,7,0.914,0.0,0.3896388
32,2023/07/22 13:00:56,quant_conv2d,1,1,8,0.914,0.0,0.3896298
33,2023/07/22 13:01:01,quant_conv2d,1,2,8,0.914,0.0,0.38961324
34,2023/07/22 13:01:05,quant_conv2d,1,3,8,0.914,0.0,0.38959122
35,2023/07/22 13:01:10,quant_conv2d,1,4,8,0.914,0.0,0.38963667
36,2023/07/22 13:01:14,quant_conv2d,1,1,9,0.914,0.0,0.39070973
37,2023/07/22 13:01:18,quant_conv2d,1,2,9,0.9141,9.999999999998899e-05,0.38968766
