;name;layer_key;kernel_index;layer_index;n_bits_flipped_per_channel;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model-model_1;;;;;;0.9115999937057495;;0.2891831398010254
0;0_20230518 16:09:19;quant_conv2d;1;2;1;Random with 8 steps;0.8569999933242798;-0.05460000038146973;0.5049782991409302
1;0_20230518 16:09:41;quant_conv2d;1;2;2;Random with 8 steps;0.8094000220298767;-0.1021999716758728;0.728565514087677
2;0_20230518 16:10:14;quant_conv2d;1;2;3;Random with 8 steps;0.7644000053405762;-0.14719998836517334;1.0027631521224976
3;0_20230518 16:10:55;quant_conv2d;1;2;4;Random with 8 steps;0.7397000193595886;-0.1718999743461609;1.1962677240371704
4;1_20230518 16:11:08;quant_conv2d;1;2;1;Random with 8 steps;0.8575000166893005;-0.054099977016448975;0.5029805898666382
5;1_20230518 16:11:30;quant_conv2d;1;2;2;Random with 8 steps;0.8046000003814697;-0.10699999332427979;0.7530595064163208
6;1_20230518 16:12:01;quant_conv2d;1;2;3;Random with 8 steps;0.7724999785423279;-0.13910001516342163;1.0048165321350098
7;1_20230518 16:12:42;quant_conv2d;1;2;4;Random with 8 steps;0.7354999780654907;-0.1761000156402588;1.1995668411254883
8;2_20230518 16:12:54;quant_conv2d;1;2;1;Random with 8 steps;0.8557999730110168;-0.055800020694732666;0.5173264145851135
9;2_20230518 16:13:17;quant_conv2d;1;2;2;Random with 8 steps;0.810699999332428;-0.10089999437332153;0.7293280363082886
10;2_20230518 16:13:48;quant_conv2d;1;2;3;Random with 8 steps;0.7720999717712402;-0.13950002193450928;0.9709761738777161
11;2_20230518 16:14:29;quant_conv2d;1;2;4;Random with 8 steps;0.7271999716758728;-0.1844000220298767;1.2203510999679565
12;3_20230518 16:14:43;quant_conv2d;1;2;1;Random with 8 steps;0.8569999933242798;-0.05460000038146973;0.5187612771987915
13;3_20230518 16:15:06;quant_conv2d;1;2;2;Random with 8 steps;0.8068000078201294;-0.10479998588562012;0.7317284941673279
14;3_20230518 16:15:37;quant_conv2d;1;2;3;Random with 8 steps;0.7721999883651733;-0.13940000534057617;0.9873547554016113
15;3_20230518 16:16:18;quant_conv2d;1;2;4;Random with 8 steps;0.7379000186920166;-0.1736999750137329;1.248450517654419
16;4_20230518 16:16:31;quant_conv2d;1;2;1;Random with 8 steps;0.8532999753952026;-0.058300018310546875;0.5210483074188232
17;4_20230518 16:16:54;quant_conv2d;1;2;2;Random with 8 steps;0.8090999722480774;-0.10250002145767212;0.754890501499176
18;4_20230518 16:17:26;quant_conv2d;1;2;3;Random with 8 steps;0.7698000073432922;-0.14179998636245728;0.9686490297317505
19;4_20230518 16:18:07;quant_conv2d;1;2;4;Random with 8 steps;0.7411999702453613;-0.17040002346038818;1.1774864196777344
20;0_20230518 23:53:16;quant_conv2d;1;2;1;Random with 8 steps;0.8583999872207642;-0.05320000648498535;0.5108312964439392
21;0_20230518 23:53:39;quant_conv2d;1;2;2;Random with 8 steps;0.8087999820709229;-0.10280001163482666;0.7357438206672668
22;0_20230518 23:54:26;quant_conv2d;1;2;3;Random with 8 steps;0.7689999938011169;-0.14259999990463257;0.9666969776153564
23;0_20230518 23:55:26;quant_conv2d;1;2;4;Random with 8 steps;0.7286999821662903;-0.18290001153945923;1.2320802211761475
24;1_20230518 23:55:45;quant_conv2d;1;2;1;Random with 8 steps;0.8575000166893005;-0.054099977016448975;0.5239562392234802
25;1_20230518 23:56:15;quant_conv2d;1;2;2;Random with 8 steps;0.8156999945640564;-0.09589999914169312;0.7331861853599548
26;1_20230518 23:57:02;quant_conv2d;1;2;3;Random with 8 steps;0.7692999839782715;-0.14230000972747803;0.983344316482544
27;1_20230518 23:58:04;quant_conv2d;1;2;4;Random with 8 steps;0.7369999885559082;-0.1746000051498413;1.2180969715118408
