,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9114999771118164,,0.2890910804271698
,new reference,,,,,0.9116,,0.2891834
0,2023/06/18 11:20:03,quant_conv2d,1,1,0,0.9116,0.0,0.2891834
1,2023/06/18 11:20:08,quant_conv2d,1,2,0,0.9116,0.0,0.2891834
2,2023/06/18 11:20:13,quant_conv2d,1,3,0,0.9116,0.0,0.2891834
3,2023/06/18 11:20:18,quant_conv2d,1,4,0,0.9116,0.0,0.2891834
4,2023/06/18 11:20:23,quant_conv2d,1,1,1,0.9116,0.0,0.2891834
5,2023/06/18 11:20:28,quant_conv2d,1,2,1,0.9116,0.0,0.2891834
6,2023/06/18 11:20:34,quant_conv2d,1,3,1,0.9116,0.0,0.28918344
7,2023/06/18 11:20:40,quant_conv2d,1,4,1,0.9116,0.0,0.2891834
8,2023/06/18 11:20:45,quant_conv2d,1,1,2,0.9117,9.999999999998899e-05,0.28917843
9,2023/06/18 11:20:50,quant_conv2d,1,2,2,0.9116,0.0,0.2891809
10,2023/06/18 11:20:55,quant_conv2d,1,3,2,0.9116,0.0,0.2891834
11,2023/06/18 11:21:00,quant_conv2d,1,4,2,0.9116,0.0,0.28918338
12,2023/06/18 11:21:05,quant_conv2d,1,1,3,0.9116,0.0,0.2891834
13,2023/06/18 11:21:10,quant_conv2d,1,2,3,0.9116,0.0,0.28918132
14,2023/06/18 11:21:15,quant_conv2d,1,3,3,0.9116,0.0,0.28917402
15,2023/06/18 11:21:20,quant_conv2d,1,4,3,0.9116,0.0,0.28918305
16,2023/06/18 11:21:25,quant_conv2d,1,1,4,0.9116,0.0,0.28918365
17,2023/06/18 11:21:30,quant_conv2d,1,2,4,0.9116,0.0,0.28918296
18,2023/06/18 11:21:36,quant_conv2d,1,3,4,0.9116,0.0,0.2891838
19,2023/06/18 11:21:42,quant_conv2d,1,4,4,0.9116,0.0,0.28917828
20,2023/06/18 11:21:47,quant_conv2d,1,1,5,0.9116,0.0,0.2892065
21,2023/06/18 11:21:53,quant_conv2d,1,2,5,0.9116,0.0,0.28919002
22,2023/06/18 11:21:58,quant_conv2d,1,3,5,0.9116,0.0,0.28918087
23,2023/06/18 11:22:03,quant_conv2d,1,4,5,0.9116,0.0,0.28918177
24,2023/06/18 11:22:08,quant_conv2d,1,1,6,0.9116,0.0,0.2891979
