,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9114999771118164,,0.2890910804271698
,new reference,,,,,0.9116,,0.2891834
0,2023/06/16 12:38:45,quant_conv2d,1,1,0,0.9116,0.0,0.2891834
1,2023/06/16 12:38:48,quant_conv2d,1,2,0,0.9116,0.0,0.2891834
2,2023/06/16 12:38:51,quant_conv2d,1,3,0,0.9116,0.0,0.28918892
3,2023/06/16 12:38:54,quant_conv2d,1,4,0,0.9116,0.0,0.2891834
4,2023/06/16 12:38:58,quant_conv2d,1,1,1,0.9116,0.0,0.2891834
5,2023/06/16 12:39:01,quant_conv2d,1,2,1,0.9116,0.0,0.28918344
6,2023/06/16 12:39:04,quant_conv2d,1,3,1,0.9116,0.0,0.28918365
7,2023/06/16 12:39:07,quant_conv2d,1,4,1,0.9116,0.0,0.28918192
8,2023/06/16 12:39:11,quant_conv2d,1,1,2,0.9116,0.0,0.2891834
9,2023/06/16 12:39:14,quant_conv2d,1,2,2,0.9116,0.0,0.28918305
10,2023/06/16 12:39:17,quant_conv2d,1,3,2,0.9116,0.0,0.2891834
11,2023/06/16 12:39:20,quant_conv2d,1,4,2,0.9116,0.0,0.28918335
12,2023/06/16 12:39:23,quant_conv2d,1,1,3,0.9116,0.0,0.28918368
13,2023/06/16 12:39:27,quant_conv2d,1,2,3,0.9116,0.0,0.28918555
14,2023/06/16 12:39:30,quant_conv2d,1,3,3,0.9116,0.0,0.28918216
15,2023/06/16 12:39:33,quant_conv2d,1,4,3,0.9116,0.0,0.2891753
16,2023/06/16 12:39:36,quant_conv2d,1,1,4,0.9116,0.0,0.28918344
17,2023/06/16 12:39:40,quant_conv2d,1,2,4,0.9116,0.0,0.28918377
18,2023/06/16 12:39:43,quant_conv2d,1,3,4,0.9116,0.0,0.28918353
19,2023/06/16 12:39:46,quant_conv2d,1,4,4,0.9116,0.0,0.28918388
20,2023/06/16 12:39:49,quant_conv2d,1,1,5,0.9116,0.0,0.28918
21,2023/06/16 12:39:52,quant_conv2d,1,2,5,0.9115,-9.999999999998899e-05,0.28918716
22,2023/06/16 12:39:56,quant_conv2d,1,3,5,0.9116,0.0,0.28920937
23,2023/06/16 12:39:59,quant_conv2d,1,4,5,0.9117,9.999999999998899e-05,0.2891857
24,2023/06/16 12:40:02,quant_conv2d,1,1,6,0.9116,0.0,0.28920576
