;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model pt1-nq + pt2-q;;;;;;0.9116;;0.2891834
0;0_2023-05-23 09:52:08;quant_conv2d;1;2;1;0;0.9116;0.0;0.2891834
1;0_2023-05-23 09:52:12;quant_conv2d;1;2;2;0;0.9116;0.0;0.2891834
2;0_2023-05-23 09:52:15;quant_conv2d;1;2;3;0;0.9116;0.0;0.2891834
3;0_2023-05-23 09:52:18;quant_conv2d;1;2;4;0;0.9116;0.0;0.2891834
4;0_2023-05-23 09:52:22;quant_conv2d;1;2;5;0;0.9116;0.0;0.28918195
5;0_2023-05-23 09:52:26;quant_conv2d;1;2;6;0;0.9116;0.0;0.2891834
6;0_2023-05-23 09:52:30;quant_conv2d;1;2;7;0;0.9116;0.0;0.28917915
7;0_2023-05-23 09:52:34;quant_conv2d;1;2;8;0;0.9116;0.0;0.2891834
8;0_2023-05-23 09:52:38;quant_conv2d;1;2;1;1;0.9116;0.0;0.2891834
9;0_2023-05-23 09:52:41;quant_conv2d;1;2;2;1;0.9116;0.0;0.2891834
10;0_2023-05-23 09:52:45;quant_conv2d;1;2;3;1;0.9116;0.0;0.2891834
11;0_2023-05-23 09:52:48;quant_conv2d;1;2;4;1;0.9116;0.0;0.2891834
12;0_2023-05-23 09:52:52;quant_conv2d;1;2;5;1;0.9116;0.0;0.2891834
13;0_2023-05-23 09:52:56;quant_conv2d;1;2;6;1;0.9116;0.0;0.2891839
14;0_2023-05-23 09:52:59;quant_conv2d;1;2;7;1;0.9116;0.0;0.28917328
15;0_2023-05-23 09:53:03;quant_conv2d;1;2;8;1;0.9116;0.0;0.28918335
16;0_2023-05-23 09:53:06;quant_conv2d;1;2;1;2;0.9116;0.0;0.2891834
17;0_2023-05-23 09:53:10;quant_conv2d;1;2;2;2;0.9116;0.0;0.2891833
18;0_2023-05-23 09:53:13;quant_conv2d;1;2;3;2;0.9116;0.0;0.2891834
19;0_2023-05-23 09:53:17;quant_conv2d;1;2;4;2;0.9116;0.0;0.28918335
20;0_2023-05-23 09:53:20;quant_conv2d;1;2;5;2;0.9116;0.0;0.2891898
21;0_2023-05-23 09:53:24;quant_conv2d;1;2;6;2;0.9116;0.0;0.2891915
22;0_2023-05-23 09:53:28;quant_conv2d;1;2;7;2;0.9116;0.0;0.2891657
23;0_2023-05-23 09:53:32;quant_conv2d;1;2;8;2;0.9116;0.0;0.28917965
24;0_2023-05-23 09:53:36;quant_conv2d;1;2;1;3;0.9116;0.0;0.2891834
25;0_2023-05-23 09:53:39;quant_conv2d;1;2;2;3;0.9116;0.0;0.2891834
26;0_2023-05-23 09:53:43;quant_conv2d;1;2;3;3;0.9116;0.0;0.28916767
27;0_2023-05-23 09:53:47;quant_conv2d;1;2;4;3;0.9116;0.0;0.28918406
28;0_2023-05-23 09:53:51;quant_conv2d;1;2;5;3;0.9116;0.0;0.28919995
29;0_2023-05-23 09:53:55;quant_conv2d;1;2;6;3;0.9116;0.0;0.28918627
30;0_2023-05-23 09:54:00;quant_conv2d;1;2;7;3;0.9116;0.0;0.28916815
31;0_2023-05-23 09:54:05;quant_conv2d;1;2;8;3;0.9116;0.0;0.28919062
32;0_2023-05-23 09:54:08;quant_conv2d;1;2;1;4;0.9116;0.0;0.2891834
33;0_2023-05-23 09:54:12;quant_conv2d;1;2;2;4;0.9116;0.0;0.28918588
34;0_2023-05-23 09:54:16;quant_conv2d;1;2;3;4;0.9116;0.0;0.28918085
35;0_2023-05-23 09:54:20;quant_conv2d;1;2;4;4;0.9116;0.0;0.2891745
36;0_2023-05-23 09:54:25;quant_conv2d;1;2;5;4;0.9116;0.0;0.28918445
37;0_2023-05-23 09:54:29;quant_conv2d;1;2;6;4;0.9116;0.0;0.28917375
38;0_2023-05-23 09:54:33;quant_conv2d;1;2;7;4;0.9116;0.0;0.28916582
39;0_2023-05-23 09:54:37;quant_conv2d;1;2;8;4;0.9116;0.0;0.28918368
40;0_2023-05-23 09:54:40;quant_conv2d;1;2;1;5;0.9116;0.0;0.28918234
41;0_2023-05-23 09:54:44;quant_conv2d;1;2;2;5;0.9116;0.0;0.28917187
42;0_2023-05-23 09:54:47;quant_conv2d;1;2;3;5;0.9116;0.0;0.28917694
43;0_2023-05-23 09:54:51;quant_conv2d;1;2;4;5;0.9115;-9.999999999998899e-05;0.28919035
44;0_2023-05-23 09:54:54;quant_conv2d;1;2;5;5;0.9116;0.0;0.289194
45;0_2023-05-23 09:54:58;quant_conv2d;1;2;6;5;0.9117;9.999999999998899e-05;0.28919122
46;0_2023-05-23 09:55:02;quant_conv2d;1;2;7;5;0.9116;0.0;0.2891898
47;0_2023-05-23 09:55:06;quant_conv2d;1;2;8;5;0.9117;9.999999999998899e-05;0.28917888
48;0_2023-05-23 09:55:10;quant_conv2d;1;2;1;6;0.9116;0.0;0.28917637
49;0_2023-05-23 09:55:13;quant_conv2d;1;2;2;6;0.9116;0.0;0.28919747
50;0_2023-05-23 09:55:16;quant_conv2d;1;2;3;6;0.9116;0.0;0.28918836
51;0_2023-05-23 09:55:20;quant_conv2d;1;2;4;6;0.9115;-9.999999999998899e-05;0.28914052
52;0_2023-05-23 09:55:23;quant_conv2d;1;2;5;6;0.9115;-9.999999999998899e-05;0.2892083
53;0_2023-05-23 09:55:27;quant_conv2d;1;2;6;6;0.9116;0.0;0.28917974
54;0_2023-05-23 09:55:31;quant_conv2d;1;2;7;6;0.9116;0.0;0.28919616
55;0_2023-05-23 09:55:35;quant_conv2d;1;2;8;6;0.9116;0.0;0.2892439
56;0_2023-05-23 09:55:38;quant_conv2d;1;2;1;7;0.9116;0.0;0.28919122
57;0_2023-05-23 09:55:42;quant_conv2d;1;2;2;7;0.9116;0.0;0.28917652
58;0_2023-05-23 09:55:46;quant_conv2d;1;2;3;7;0.9116;0.0;0.2891891
59;0_2023-05-23 09:55:49;quant_conv2d;1;2;4;7;0.9116;0.0;0.2892535
60;0_2023-05-23 09:55:53;quant_conv2d;1;2;5;7;0.9116;0.0;0.28912753
61;0_2023-05-23 09:55:58;quant_conv2d;1;2;6;7;0.9116;0.0;0.28916064
62;0_2023-05-23 09:56:03;quant_conv2d;1;2;7;7;0.9117;9.999999999998899e-05;0.28917965
63;0_2023-05-23 09:56:08;quant_conv2d;1;2;8;7;0.9117;9.999999999998899e-05;0.28910497
64;0_2023-05-23 09:56:11;quant_conv2d;1;2;1;8;0.9116;0.0;0.28918397
65;0_2023-05-23 09:56:16;quant_conv2d;1;2;2;8;0.9116;0.0;0.28918433
66;0_2023-05-23 09:56:20;quant_conv2d;1;2;3;8;0.9116;0.0;0.28914922
67;0_2023-05-23 09:56:24;quant_conv2d;1;2;4;8;0.9117;9.999999999998899e-05;0.28913927
