;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model-model_1;;;;;;0.9115999937057495;;0.2891831398010254
0;0_20230518 14:58:28;quant_conv2d;1;2;1;7;0.9115999937057495;0.0;0.28918537497520447
1;0_20230518 14:58:31;quant_conv2d;1;2;2;7;0.9115999937057495;0.0;0.2891600430011749
2;0_20230518 14:58:34;quant_conv2d;1;2;3;7;0.9118000268936157;0.00020003318786621094;0.2891658842563629
3;0_20230518 14:58:37;quant_conv2d;1;2;4;7;0.9114999771118164;-0.00010001659393310547;0.2891792356967926
4;0_20230518 14:58:40;quant_conv2d;1;2;5;7;0.9114999771118164;-0.00010001659393310547;0.2891925871372223
5;0_20230518 14:58:43;quant_conv2d;1;2;6;7;0.9115999937057495;0.0;0.28919875621795654
6;0_20230518 14:58:46;quant_conv2d;1;2;7;7;0.9115999937057495;0.0;0.2891463041305542
7;0_20230518 14:58:50;quant_conv2d;1;2;8;7;0.9114000201225281;-0.00019997358322143555;0.28921201825141907
8;0_20230518 14:58:53;quant_conv2d;1;2;9;7;0.9115999937057495;0.0;0.28919899463653564
9;0_20230518 14:58:57;quant_conv2d;1;2;10;7;0.9117000102996826;0.00010001659393310547;0.28926795721054077
10;0_20230518 14:59:02;quant_conv2d;1;2;1;15;0.9115999937057495;0.0;0.28928229212760925
11;0_20230518 14:59:05;quant_conv2d;1;2;2;15;0.9122999906539917;0.0006999969482421875;0.2891920804977417
12;0_20230518 14:59:08;quant_conv2d;1;2;3;15;0.9115999937057495;0.0;0.2895631492137909
13;0_20230518 14:59:11;quant_conv2d;1;2;4;15;0.9124000072479248;0.000800013542175293;0.290571004152298
14;0_20230518 14:59:15;quant_conv2d;1;2;5;15;0.9111999869346619;-0.0004000067710876465;0.29045090079307556
15;0_20230518 14:59:18;quant_conv2d;1;2;6;15;0.9114999771118164;-0.00010001659393310547;0.28979402780532837
16;0_20230518 14:59:21;quant_conv2d;1;2;7;15;0.9115999937057495;0.0;0.28916317224502563
17;0_20230518 14:59:24;quant_conv2d;1;2;8;15;0.9114000201225281;-0.00019997358322143555;0.29047638177871704
18;0_20230518 14:59:28;quant_conv2d;1;2;9;15;0.9104999899864197;-0.001100003719329834;0.2898894250392914
19;0_20230518 14:59:32;quant_conv2d;1;2;10;15;0.9122999906539917;0.0006999969482421875;0.2897206246852875
20;0_20230518 14:59:34;quant_conv2d;1;2;1;23;0.9082000255584717;-0.003399968147277832;0.30376002192497253
21;0_20230518 14:59:37;quant_conv2d;1;2;2;23;0.9057999849319458;-0.005800008773803711;0.3134749233722687
22;0_20230518 14:59:40;quant_conv2d;1;2;3;23;0.9039999842643738;-0.007600009441375732;0.32879674434661865
23;0_20230518 14:59:43;quant_conv2d;1;2;4;23;0.8981999754905701;-0.013400018215179443;0.33682000637054443
24;0_20230518 14:59:46;quant_conv2d;1;2;5;23;0.8974999785423279;-0.01410001516342163;0.3499143421649933
25;0_20230518 14:59:49;quant_conv2d;1;2;6;23;0.8931000232696533;-0.01849997043609619;0.3600144684314728
26;0_20230518 14:59:54;quant_conv2d;1;2;7;23;0.8898000121116638;-0.021799981594085693;0.37783709168434143
27;0_20230518 14:59:57;quant_conv2d;1;2;8;23;0.8833000063896179;-0.028299987316131592;0.39749017357826233
28;0_20230518 15:00:01;quant_conv2d;1;2;9;23;0.882099986076355;-0.02950000762939453;0.402131587266922
29;0_20230518 15:00:05;quant_conv2d;1;2;10;23;0.8849999904632568;-0.026600003242492676;0.40372905135154724
30;0_20230518 15:00:08;quant_conv2d;1;2;1;31;0.9075000286102295;-0.0040999650955200195;0.2993207573890686
31;0_20230518 15:00:11;quant_conv2d;1;2;2;31;0.9025999903678894;-0.009000003337860107;0.3232330083847046
