;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model-model_1;;;;;;0.9115999937057495;;0.2891831398010254
0;0_20230519 19:10:14;quant_conv2d;1;2;1;0;0.9115999937057495;0.0;0.28918275237083435
1;0_20230519 19:10:17;quant_conv2d;1;2;2;0;0.9115999937057495;0.0;0.2891831398010254
2;0_20230519 19:10:21;quant_conv2d;1;2;3;0;0.9115999937057495;0.0;0.2891831398010254
3;0_20230519 19:10:24;quant_conv2d;1;2;4;0;0.9115999937057495;0.0;0.2891831398010254
4;0_20230519 19:10:28;quant_conv2d;1;2;5;0;0.9115999937057495;0.0;0.289183109998703
5;0_20230519 19:10:31;quant_conv2d;1;2;6;0;0.9115999937057495;0.0;0.2891831398010254
6;0_20230519 19:10:36;quant_conv2d;1;2;7;0;0.9115999937057495;0.0;0.2891826927661896
7;0_20230519 19:10:39;quant_conv2d;1;2;8;0;0.9115999937057495;0.0;0.28918272256851196
8;0_20230519 19:10:43;quant_conv2d;1;2;1;1;0.9115999937057495;0.0;0.2891831398010254
9;0_20230519 19:10:47;quant_conv2d;1;2;2;1;0.9115999937057495;0.0;0.2891824543476105
10;0_20230519 19:10:50;quant_conv2d;1;2;3;1;0.9115999937057495;0.0;0.2891831398010254
11;0_20230519 19:10:53;quant_conv2d;1;2;4;1;0.9115999937057495;0.0;0.28917795419692993
12;0_20230519 19:10:56;quant_conv2d;1;2;5;1;0.9115999937057495;0.0;0.28918328881263733
13;0_20230519 19:11:00;quant_conv2d;1;2;6;1;0.9115999937057495;0.0;0.28918182849884033
14;0_20230519 19:11:03;quant_conv2d;1;2;7;1;0.9115999937057495;0.0;0.28918319940567017
15;0_20230519 19:11:07;quant_conv2d;1;2;8;1;0.9115999937057495;0.0;0.2891831398010254
16;0_20230519 19:11:10;quant_conv2d;1;2;1;2;0.9115999937057495;0.0;0.2891831398010254
17;0_20230519 19:11:14;quant_conv2d;1;2;2;2;0.9115999937057495;0.0;0.2891831398010254
18;0_20230519 19:11:17;quant_conv2d;1;2;3;2;0.9115999937057495;0.0;0.2891829013824463
19;0_20230519 19:11:20;quant_conv2d;1;2;4;2;0.9115999937057495;0.0;0.2891837954521179
20;0_20230519 19:11:24;quant_conv2d;1;2;5;2;0.9115999937057495;0.0;0.2891860008239746
21;0_20230519 19:11:27;quant_conv2d;1;2;6;2;0.9115999937057495;0.0;0.2891831398010254
22;0_20230519 19:11:31;quant_conv2d;1;2;7;2;0.9115999937057495;0.0;0.28918373584747314
23;0_20230519 19:11:35;quant_conv2d;1;2;8;2;0.9115999937057495;0.0;0.28918328881263733
24;0_20230519 19:11:38;quant_conv2d;1;2;1;3;0.9115999937057495;0.0;0.2891831398010254
25;0_20230519 19:11:42;quant_conv2d;1;2;2;3;0.9115999937057495;0.0;0.28919076919555664
26;0_20230519 19:11:45;quant_conv2d;1;2;3;3;0.9115999937057495;0.0;0.28919273614883423
27;0_20230519 19:11:48;quant_conv2d;1;2;4;3;0.9115999937057495;0.0;0.28917890787124634
28;0_20230519 19:11:52;quant_conv2d;1;2;5;3;0.9115999937057495;0.0;0.28917303681373596
29;0_20230519 19:11:55;quant_conv2d;1;2;6;3;0.9115999937057495;0.0;0.2891831398010254
30;0_20230519 19:11:59;quant_conv2d;1;2;7;3;0.9115999937057495;0.0;0.2891826331615448
31;0_20230519 19:12:02;quant_conv2d;1;2;8;3;0.9115999937057495;0.0;0.2891996502876282
32;0_20230519 19:12:05;quant_conv2d;1;2;1;4;0.9114999771118164;-0.00010001659393310547;0.28917819261550903
33;0_20230519 19:12:12;quant_conv2d;1;2;2;4;0.9115999937057495;0.0;0.2891744375228882
34;0_20230519 19:12:16;quant_conv2d;1;2;3;4;0.9115999937057495;0.0;0.28918078541755676
