;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model-model_1;;;;;;0.9115999937057495;;0.2891831398010254
0;0_20230518 16:26:52;quant_conv2d;1;2;1;23;0.9108999967575073;-0.0006999969482421875;0.2952950894832611
1;0_20230518 16:26:56;quant_conv2d;1;2;2;23;0.9077000021934509;-0.003899991512298584;0.3025437891483307
2;0_20230518 16:27:00;quant_conv2d;1;2;3;23;0.9036999940872192;-0.007899999618530273;0.3177332878112793
3;0_20230518 16:27:04;quant_conv2d;1;2;4;7;0.9036999940872192;-0.007899999618530273;0.3132646679878235
4;0_20230518 16:27:08;quant_conv2d;1;2;5;15;0.9027000069618225;-0.008899986743927002;0.31773680448532104
5;0_20230518 16:27:13;quant_conv2d;1;2;6;7;0.8978000283241272;-0.013799965381622314;0.33031153678894043
6;0_20230518 16:27:17;quant_conv2d;1;2;7;7;0.8978999853134155;-0.013700008392333984;0.3451027274131775
7;0_20230518 16:27:22;quant_conv2d;1;2;8;7;0.8945000171661377;-0.017099976539611816;0.3448047935962677
8;0_20230518 16:27:27;quant_conv2d;1;2;9;7;0.8916000127792358;-0.019999980926513672;0.35963380336761475
9;0_20230518 16:27:33;quant_conv2d;1;2;10;31;0.8956000208854675;-0.015999972820281982;0.35889559984207153
10;0_20230518 16:27:39;quant_conv2d;1;2;11;23;0.8913999795913696;-0.020200014114379883;0.36519667506217957
11;0_20230518 16:27:44;quant_conv2d;1;2;12;15;0.8895000219345093;-0.022099971771240234;0.3794439733028412
12;0_20230518 16:27:50;quant_conv2d;1;2;13;31;0.8848999738693237;-0.02670001983642578;0.3859693109989166
13;0_20230518 16:27:56;quant_conv2d;1;2;14;7;0.8855000138282776;-0.026099979877471924;0.3885425925254822
14;0_20230518 16:28:02;quant_conv2d;1;2;15;15;0.883400022983551;-0.028199970722198486;0.3908923864364624
15;1_20230518 16:28:05;quant_conv2d;1;2;1;7;0.9111999869346619;-0.0004000067710876465;0.29489967226982117
16;1_20230518 16:28:08;quant_conv2d;1;2;2;15;0.9065999984741211;-0.004999995231628418;0.3039235472679138
17;1_20230518 16:28:11;quant_conv2d;1;2;3;7;0.9057999849319458;-0.005800008773803711;0.3090742528438568
18;1_20230518 16:28:15;quant_conv2d;1;2;4;31;0.9031000137329102;-0.008499979972839355;0.318783164024353
19;1_20230518 16:28:19;quant_conv2d;1;2;5;7;0.901199996471405;-0.010399997234344482;0.3214833438396454
20;1_20230518 16:28:23;quant_conv2d;1;2;6;15;0.8992000222206116;-0.01239997148513794;0.3347971439361572
21;1_20230518 16:28:27;quant_conv2d;1;2;7;7;0.8974000215530396;-0.014199972152709961;0.3457893431186676
22;1_20230518 16:28:31;quant_conv2d;1;2;8;7;0.8956000208854675;-0.015999972820281982;0.3469080626964569
23;1_20230518 16:28:36;quant_conv2d;1;2;9;31;0.8931000232696533;-0.01849997043609619;0.3508247137069702
24;1_20230518 16:28:40;quant_conv2d;1;2;10;31;0.8920999765396118;-0.019500017166137695;0.35724228620529175
25;1_20230518 16:28:45;quant_conv2d;1;2;11;23;0.892300009727478;-0.019299983978271484;0.36288607120513916
26;1_20230518 16:28:51;quant_conv2d;1;2;12;31;0.8903999924659729;-0.02120000123977661;0.37089383602142334
27;1_20230518 16:28:56;quant_conv2d;1;2;13;23;0.8877000212669373;-0.023899972438812256;0.38832491636276245
28;1_20230518 16:29:02;quant_conv2d;1;2;14;7;0.8899000287055969;-0.021699965000152588;0.3783892095088959
29;1_20230518 16:29:07;quant_conv2d;1;2;15;31;0.8820000290870667;-0.02959996461868286;0.3926943242549896
30;2_20230518 16:29:10;quant_conv2d;1;2;1;23;0.9101999998092651;-0.001399993896484375;0.2944480776786804
