,reference,layer_name,layer_counter,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
,original,,,,,0.914,,0.38962257
0,2024/01/27 17:46:32,conv2d/,0,1,0,0.9144,0.00039999999999995595,0.38823706
1,2024/01/27 17:46:34,conv2d/,0,2,0,0.9145,0.0004999999999999449,0.38980722
2,2024/01/27 17:46:36,conv2d/,0,4,0,0.914,0.0,0.39047915
3,2024/01/27 17:46:38,conv2d/,0,1,1,0.914,0.0,0.38996756
4,2024/01/27 17:46:39,conv2d/,0,2,1,0.9141,9.999999999998899e-05,0.39158472
5,2024/01/27 17:46:41,conv2d/,0,4,1,0.9139,-9.999999999998899e-05,0.3914088
6,2024/01/27 17:46:43,conv2d/,0,1,2,0.9148,0.0007999999999999119,0.3893582
7,2024/01/27 17:46:45,conv2d/,0,2,2,0.9147,0.0006999999999999229,0.38810572
8,2024/01/27 17:46:46,conv2d/,0,4,2,0.9146,0.0005999999999999339,0.389451
9,2024/01/27 17:46:48,conv2d/,0,1,3,0.9145,0.0004999999999999449,0.39276835
10,2024/01/27 17:46:50,conv2d/,0,2,3,0.9139,-9.999999999998899e-05,0.39133927
11,2024/01/27 17:46:52,conv2d/,0,4,3,0.9134,-0.0006000000000000449,0.38723648
12,2024/01/27 17:46:54,conv2d/,0,1,4,0.9138,-0.000200000000000089,0.3892266
13,2024/01/27 17:46:55,conv2d/,0,2,4,0.9129,-0.0010999999999999899,0.3907277
14,2024/01/27 17:46:57,conv2d/,0,4,4,0.9136,-0.00040000000000006697,0.38657293
15,2024/01/27 17:46:59,conv2d/,0,1,5,0.9143,0.00029999999999996696,0.39087448
16,2024/01/27 17:47:01,conv2d/,0,2,5,0.914,0.0,0.3928396
17,2024/01/27 17:47:03,conv2d/,0,4,5,0.9125,-0.0015000000000000568,0.3831896
18,2024/01/27 17:47:04,conv2d/,0,1,6,0.9134,-0.0006000000000000449,0.39368144
19,2024/01/27 17:47:06,conv2d/,0,2,6,0.9123,-0.0017000000000000348,0.4033255
20,2024/01/27 17:47:08,conv2d/,0,4,6,0.9118,-0.0021999999999999797,0.38754234
21,2024/01/27 17:47:10,conv2d/,0,1,7,0.9118,-0.0021999999999999797,0.3821936
22,2024/01/27 17:47:11,conv2d/,0,2,7,0.9126,-0.0014000000000000679,0.3872595
23,2024/01/27 17:47:13,conv2d/,0,4,7,0.9047,-0.009300000000000086,0.4222122
24,2024/01/27 17:47:15,conv2d/,0,1,0,0.9136,-0.00040000000000006697,0.3898291
25,2024/01/27 17:47:17,conv2d/,0,2,0,0.9137,-0.000300000000000078,0.3914519
26,2024/01/27 17:47:19,conv2d/,0,4,0,0.9138,-0.000200000000000089,0.38709828
27,2024/01/27 17:47:20,conv2d/,0,1,1,0.9136,-0.00040000000000006697,0.38843557
28,2024/01/27 17:47:22,conv2d/,0,2,1,0.9141,9.999999999998899e-05,0.3894161
29,2024/01/27 17:47:24,conv2d/,0,4,1,0.9143,0.00029999999999996696,0.39094526
30,2024/01/27 17:47:26,conv2d/,0,1,2,0.915,0.0010000000000000009,0.3882005
31,2024/01/27 17:47:28,conv2d/,0,2,2,0.9136,-0.00040000000000006697,0.38841727
32,2024/01/27 17:47:29,conv2d/,0,4,2,0.9138,-0.000200000000000089,0.38785905
33,2024/01/27 17:47:31,conv2d/,0,1,3,0.9143,0.00029999999999996696,0.38718194
34,2024/01/27 17:47:33,conv2d/,0,2,3,0.9138,-0.000200000000000089,0.38863862
35,2024/01/27 17:47:35,conv2d/,0,4,3,0.9145,0.0004999999999999449,0.3889041
36,2024/01/27 17:47:37,conv2d/,0,1,4,0.9142,0.00019999999999997797,0.39193824
37,2024/01/27 17:47:39,conv2d/,0,2,4,0.914,0.0,0.3889277
38,2024/01/27 17:47:40,conv2d/,0,4,4,0.9134,-0.0006000000000000449,0.39050418
39,2024/01/27 17:47:42,conv2d/,0,1,5,0.9129,-0.0010999999999999899,0.3933102
40,2024/01/27 17:47:44,conv2d/,0,2,5,0.9131,-0.0009000000000000119,0.39249983
41,2024/01/27 17:47:46,conv2d/,0,4,5,0.9141,9.999999999998899e-05,0.3830388
42,2024/01/27 17:47:47,conv2d/,0,1,6,0.9137,-0.000300000000000078,0.39143947
43,2024/01/27 17:47:49,conv2d/,0,2,6,0.9125,-0.0015000000000000568,0.3990376
44,2024/01/27 17:47:51,conv2d/,0,4,6,0.9143,0.00029999999999996696,0.39922994
45,2024/01/27 17:47:53,conv2d/,0,1,7,0.9113,-0.0027000000000000357,0.3867461
